;;58,222,577;;;134,312;;;;;;
;;;;;536,555;142,219;;176,339,616;;;
79,200,597;;;;;159,191;;;;;246,260;
;;;;351,395,444,527;307,367;;254,289;488,548;427,455;;
;;;351,425,439,527;;636;;171,200,277,363,410,442,446,615;51,86;282,323,458,467;123,152;
155,287;;158,191;307,366;635;;609,624;371,409;;;;
;;;;;607,625;;;148,208,341,372;;;
;;;254,289,404,413;170,199,276,364,410,441,445,614;370,409;;;;225,340,447,483;363,373;
;197,316,637;;488,547;52,84;;147,207,340,371;;;;417,456;
;;;427,454;281,323,459,465;;;224,339,446,483;;;483,544;
;;245,259;;123,152;;;364,371;417,456;480,546;;
