;;;;;;;;;;18,147,1002;;
;;251,545,1040;368,433;15,85,832,902,925,995;;;;;;;99,104,701,706,897,902;
;279,395,400,516,1067;;;664,694;66,115;725,730;103,168,609,668,908,955;117,162,565,593,840,899;616,640;821,868;176,192,614,617,966,990;
;389,410;;;;166,200;;491,582,1011,1026;941,992;323,356;;;
;;664,694;;;;281,321,548,592;175,224,691,742;;719,771;282,325;165,208,770,783;
;;66,115;166,202;;;0,10;90,127,663,699,937,976;238,274,709,772,885,929,1063;300,346,678,730;;623,671,1017,1056;
;;;;280,321,547,592;0,11;;820,834;;794,851;141,437,756,791,969,1013;;
;;102,168,609,667,907,955;491,582,1010,1026;175,223,692,741;89,127,663,699,936,976;820,836;;121,190,984,1026;205,252,583,651,813,846;708,743;204,276;
;;117,162,565,592,840,898;940,991;;238,274,708,772,885,928,1062;;120,189,983,1026;;663,721;798,850;54,69;
;;616,639;322,355;718,771;299,345,677,730;793,850;204,252,582,651,812,845;663,718;;;217,261,665,680;
39,125,1023;;821,867;;282,325;;141,436,756,791,968,1012;707,742;798,849;;;;
;;176,191,611,618,965,989;;163,209,769,783;623,670,1017,1055;;203,276;54,68;217,260,665,679;;;
