;;;;564,719;;;319,370;;222,298,481,557;
;;;263,422,937;;;;;;;
;;;112,161;162,200,626,636,652,832;;0,20;74,267,835,888;244,288,872,911;;
;284,399,958;112,161;;851,883;616,684;;99,173,513,586,776,850;755,806;;
;;162,200,626,635,650,833;849,884;;226,265;;847,872;;525,589;
;;;616,683;226,265;;;;342,362;;
;;0,20;;;;;;;24,44;
;;74,266,835,877,878,883;98,172,512,586,775,850;847,871;;;;257,260,465,518,701,793;279,339;
;;243,287,871,914;754,806;;340,362;;254,262,465,517,701,792;;146,202,601,670;
;;;;525,588;;22,45;278,338;146,201,601,669;;
