;;;161,221;;;;105,175,630,700;;;
;;345,469,792;;;;;;204,309,814;;
;367,444,815;;57,79;;78,114;107,140,590,680;;35,90,742;158,182;
;;56,79;;615,703;627,671;335,363;116,156;;354,469;
;;;614,703;;315,358,594,675;;303,340,527,548;;233,276,557,602;
;;78,113;623,671;315,357,593,675;;157,205;281,329,450,496;51,109;582,610,755,777;
;;106,140,589,678;335,363;;156,204;;;492,538;;
;;;116,155;303,339,528,546;281,328,450,495;;;;;
;225,286;48,76,740;;;50,108;491,537;;;135,182;
;;158,181;354,470;233,275,557,602;582,610,754,777;;;135,181;;
