;;0,44;;547,640,685;;;;33,102,295,364,421,490,683,752;;;;
;;;0,27,610,657;;52,157,296,401,498,603,742;343,410;142,329,450,637;;;;143,235,397,514;
;;;;412,430;;608,648;;0,4;628,672;145,189;;
;;;;;35,72,448,474,587,643;;;;368,536;0,149,476,612;;
;;410,431;;;;;;493,546;;;;
;80,129,322,371,526,575,768;;34,72,447,472,587,641;;;339,399;553,565;;450,473;28,64,583,613;;
;369,382;608,647;;;338,400;;;;;;379,426;
;166,303,474,611;;;;553,564;;;;;;;
;;0,4;;493,545;;;;;;178,245;;
;;628,671;368,536;;449,473;;;;;478,530;;
;;144,189;0,148,476,611;;27,64,582,609;;;177,244;478,530;;;
;422,487;;;;;378,426;;;;;;
