;;;;;116,237;;;;;290,318,685;;
;;;;;;361,460;319,544;204,260,349,403;;;0,47,668;
;;;;233,442;397,422;105,123,209,247,656,666;;616;160,203,302,345,658;330,375,584,626;;
;;;;;;;;83,127;0,162;143,210;106,267,377,394;
;;232,441;;;393,647;189,238,590,641;103,123;554,604;300,343;259,299,309,372;448,452;
140,211;;397,421;;392,645;;575,621;;541,588;628,641;;;
;382,437;208,247,654,666;;189,238,590,641;574,621;;334,401;374,399,618,666;479,522;;;
;341,418,443,520;;;103,123;;336,398;;361,391;532,594;;;
;;616;82,126;553,603;540,587;373,398,618,665;361,391;;87,131,454,485,657;;117,134;
;;159,203,301,345,658;0,163;300,342;627,640;479,522;532,593;86,130,453,484,657;;183,253,328,357;215,273;
;;329,375,583,627;143,210;259,298,308,372;;;;;182,253,326,357;;142,234,395,443;
;0,24,689;;104,267,376,393;447,449;;;;117,133;212,272;141,233,395,442;;
